[12-Aug-2026 23:03:47] NOTICE: [global]
[12-Aug-2026 23:03:47] NOTICE: 	pid = undefined
[12-Aug-2026 23:03:47] NOTICE: 	request_slowlog_timeout = 0s
[12-Aug-2026 23:03:47] NOTICE: 	request_slowlog_trace_depth = 20
[12-Aug-2026 23:03:47] NOTICE: 	request_terminate_timeout = 120s
[12-Aug-2026 23:03:47] NOTICE: 	request_terminate_timeout_track_finished = no
[12-Aug-2026 23:03:47] NOTICE: 	rlimit_files = 0
[12-Aug-2026 23:03:47] NOTICE: 	rlimit_core = 0
[12-Aug-2026 23:03:47] NOTICE: 	chroot = undefined
[12-Aug-2026 23:03:47] NOTICE: 	chdir = undefined
[12-Aug-2026 23:03:47] NOTICE: 	catch_workers_output = no
[12-Aug-2026 23:03:47] NOTICE: 	decorate_workers_output = yes
[12-Aug-2026 23:03:47] NOTICE: 	clear_env = yes
[12-Aug-2026 23:03:47] NOTICE: 	security.limit_extensions = .php .phar
[12-Aug-2026 23:03:47] NOTICE: 	env[DB_PASSWORD] = secret-should-not-be-exported
[12-Aug-2026 23:03:47] NOTICE:  
[12-Aug-2026 23:03:47] NOTICE: [api]
[12-Aug-2026 23:03:47] NOTICE: 	prefix = undefined
[12-Aug-2026 23:03:47] NOTICE: 	user = undefined
[12-Aug-2026 23:03:47] NOTICE: 	group = undefined
[12-Aug-2026 23:03:47] NOTICE: 	listen = /tmp/fx/api.sock
[12-Aug-2026 23:03:47] NOTICE: 	listen.backlog = -1
[12-Aug-2026 23:03:47] NOTICE: 	listen.owner = undefined
[12-Aug-2026 23:03:47] NOTICE: 	listen.group = undefined
[12-Aug-2026 23:03:47] NOTICE: 	listen.mode = undefined
[12-Aug-2026 23:03:47] NOTICE: 	listen.allowed_clients = undefined
[12-Aug-2026 23:03:47] NOTICE: 	process.priority = undefined
[12-Aug-2026 23:03:47] NOTICE: 	process.dumpable = no
[12-Aug-2026 23:03:47] NOTICE: 	pm = static
[12-Aug-2026 23:03:47] NOTICE: 	pm.max_children = 3
[12-Aug-2026 23:03:47] NOTICE: 	pm.start_servers = 0
[12-Aug-2026 23:03:47] NOTICE: 	pm.min_spare_servers = 0
[12-Aug-2026 23:03:47] NOTICE: 	pm.max_spare_servers = 0
[12-Aug-2026 23:03:47] NOTICE: 	pm.max_spawn_rate = 32
[12-Aug-2026 23:03:47] NOTICE: 	pm.process_idle_timeout = 10
[12-Aug-2026 23:03:47] NOTICE: 	pm.max_requests = 0
[12-Aug-2026 23:03:47] NOTICE: 	pm.status_path = /status
[12-Aug-2026 23:03:47] NOTICE: 	pm.status_listen = undefined
[12-Aug-2026 23:03:47] NOTICE: 	ping.path = undefined
[12-Aug-2026 23:03:47] NOTICE: 	ping.response = undefined
[12-Aug-2026 23:03:47] NOTICE: 	access.log = undefined
[12-Aug-2026 23:03:47] NOTICE: 	access.format = undefined
[12-Aug-2026 23:03:47] NOTICE: 	slowlog = undefined
[12-Aug-2026 23:03:47] NOTICE: 	request_slowlog_timeout = 0s
[12-Aug-2026 23:03:47] NOTICE: 	request_slowlog_trace_depth = 20
[12-Aug-2026 23:03:47] NOTICE: 	request_terminate_timeout = 0s
[12-Aug-2026 23:03:47] NOTICE: 	request_terminate_timeout_track_finished = no
[12-Aug-2026 23:03:47] NOTICE: 	rlimit_files = 0
[12-Aug-2026 23:03:47] NOTICE: 	rlimit_core = 0
[12-Aug-2026 23:03:47] NOTICE: 	chroot = undefined
[12-Aug-2026 23:03:47] NOTICE: 	chdir = undefined
[12-Aug-2026 23:03:47] NOTICE: 	catch_workers_output = no
[12-Aug-2026 23:03:47] NOTICE: 	decorate_workers_output = yes
[12-Aug-2026 23:03:47] NOTICE: 	clear_env = yes
[12-Aug-2026 23:03:47] NOTICE: 	security.limit_extensions = .php .phar
[12-Aug-2026 23:03:47] NOTICE:  
[12-Aug-2026 23:03:47] NOTICE: configuration file /tmp/fx/pool.conf test is successful
